word,score
head,1.64
leg,1.66
legs,100
hand,1.66
hands,100
foot,1.76
feet,100
arm,1.76
arms,100
eye,1.88
eyes,100
ear,2.1
ears,100
nose,2.12
mouth,2.34
finger,2.34
fingers,100
heart,2.36
face,2.54
knee,2.54
knees,100
toe,2.56
toes,100
stomach,2.58
back,2.76
neck,2.84
tongue,2.9
brain,2.9
chest,2.92
shoulder,2.94
shoulders,100
elbow,2.96
elbows,100
ankle,3.16
ankles,100
tooth,3.44
teeth,100
lungs,3.46
lung,100
throat,3.6
hair,3.66
liver,3.88
nail,4.28
nails,100
trunk,4.36
heads,100
nose,100
mouth,100
heart,100
face,100
stomach,100
back,100
neck,100
tongue,100
brain,100
chest,100
throat,100
hair,100
liver,100
trunk,100
