"","word","prior"
"1","zero",0.00943396226415094
"2","one",0.00943396226415094
"3","two",0.00943396226415094
"4","three",0.00943396226415094
"5","four",0.00943396226415094
"6","five",0.00943396226415094
"7","six",0.00943396226415094
"8","seven",0.00943396226415094
"9","eight",0.00943396226415094
"10","nine",0.00943396226415094
"11","ten",0.00943396226415094
"12","eleven",0.00943396226415094
"13","twelve",0.00943396226415094
"14","thirteen",0.00943396226415094
"15","fourteen",0.00943396226415094
"16","fifteen",0.00943396226415094
"17","sixteen",0.00943396226415094
"18","seventeen",0.00943396226415094
"19","eighteen",0.00943396226415094
"20","nineteen",0.00943396226415094
"21","twenty",0.00943396226415094
"22","twenty one",0.00943396226415094
"23","twenty two",0.00943396226415094
"24","twenty three",0.00943396226415094
"25","twenty four",0.00943396226415094
"26","twenty five",0.00943396226415094
"27","twenty six",0.00943396226415094
"28","twenty seven",0.00943396226415094
"29","twenty eight",0.00943396226415094
"30","twenty nine",0.00943396226415094
"31","thirty",0.00943396226415094
"32","thirty one",0.00943396226415094
"33","thirty two",0.00943396226415094
"34","thirty three",0.00943396226415094
"35","thirty four",0.00943396226415094
"36","thirty five",0.00943396226415094
"37","thirty six",0.00943396226415094
"38","thirty seven",0.00943396226415094
"39","thirty eight",0.00943396226415094
"40","thirty nine",0.00943396226415094
"41","forty",0.00943396226415094
"42","forty one",0.00943396226415094
"43","forty two",0.00943396226415094
"44","forty three",0.00943396226415094
"45","forty four",0.00943396226415094
"46","forty five",0.00943396226415094
"47","forty six",0.00943396226415094
"48","forty seven",0.00943396226415094
"49","forty eight",0.00943396226415094
"50","forty nine",0.00943396226415094
"51","fifty",0.00943396226415094
"52","fifty one",0.00943396226415094
"53","fifty two",0.00943396226415094
"54","fifty three",0.00943396226415094
"55","fifty four",0.00943396226415094
"56","fifty five",0.00943396226415094
"57","fifty six",0.00943396226415094
"58","fifty seven",0.00943396226415094
"59","fifty eight",0.00943396226415094
"60","fifty nine",0.00943396226415094
"61","sixty",0.00943396226415094
"62","sixty one",0.00943396226415094
"63","sixty two",0.00943396226415094
"64","sixty three",0.00943396226415094
"65","sixty four",0.00943396226415094
"66","sixty five",0.00943396226415094
"67","sixty six",0.00943396226415094
"68","sixty seven",0.00943396226415094
"69","sixty eight",0.00943396226415094
"70","sixty nine",0.00943396226415094
"71","seventy",0.00943396226415094
"72","seventy one",0.00943396226415094
"73","seventy two",0.00943396226415094
"74","seventy three",0.00943396226415094
"75","seventy four",0.00943396226415094
"76","seventy five",0.00943396226415094
"77","seventy six",0.00943396226415094
"78","seventy seven",0.00943396226415094
"79","seventy eight",0.00943396226415094
"80","seventy nine",0.00943396226415094
"81","eighty",0.00943396226415094
"82","eighty one",0.00943396226415094
"83","eighty two",0.00943396226415094
"84","eighty three",0.00943396226415094
"85","eighty four",0.00943396226415094
"86","eighty five",0.00943396226415094
"87","eighty six",0.00943396226415094
"88","eighty seven",0.00943396226415094
"89","eighty eight",0.00943396226415094
"90","eighty nine",0.00943396226415094
"91","ninety",0.00943396226415094
"92","ninety one",0.00943396226415094
"93","ninety two",0.00943396226415094
"94","ninety three",0.00943396226415094
"95","ninety four",0.00943396226415094
"96","ninety five",0.00943396226415094
"97","ninety six",0.00943396226415094
"98","ninety seven",0.00943396226415094
"99","ninety eight",0.00943396226415094
"100","ninety nine",0.00943396226415094
"101","hundred",0.00943396226415094
"102","thousand",0.00943396226415094
"103","million",0.00943396226415094
"104","billion",0.00943396226415094
"105","dozen",0.00943396226415094
"106","googol",0.00943396226415094
