"","X","word","score","prior","likelihood","pword","posterior"
"1",32,"head",1.64,0.0387355412704917,1,0.0387355412704917,0.0986997253552692
"2",30,"hand",1.66,0.0382688480021725,1,0.0382688480021725,0.0975105720377358
"3",28,"foot",1.76,0.0360944816384127,1,0.0360944816384127,0.0919701986265008
"4",48,"nose",2.12,0.029965230039437,1,0.029965230039437,0.0763526177276612
"5",24,"face",2.54,0.0250103494817348,1,0.0250103494817348,0.0637273817254494
"6",36,"knee",2.54,0.0250103494817348,1,0.0250103494817348,0.0637273817254494
"7",6,"back",2.76,0.0230167708998574,1,0.0230167708998574,0.0586476628922615
"8",47,"neck",2.84,0.0223684111561994,1,0.0223684111561994,0.0569956160502258
"9",29,"hair",3.66,0.0173569092031711,1,0.0173569092031711,0.0442261064433446
"10",45,"nail",4.28,0.0148425905802819,1,0.0148425905802819,0.0378195209305238
"11",3,"anus",7,0.00907518395480091,1,0.00907518395480091,0.0231239356546631
"12",9,"bone",7,0.00907518395480091,1,0.00907518395480091,0.0231239356546631
"13",12,"brow",7,0.00907518395480091,1,0.00907518395480091,0.0231239356546631
"14",13,"butt",7,0.00907518395480091,1,0.00907518395480091,0.0231239356546631
"15",14,"calf",7,0.00907518395480091,1,0.00907518395480091,0.0231239356546631
"16",17,"chin",7,0.00907518395480091,1,0.00907518395480091,0.0231239356546631
"17",35,"iris",7,0.00907518395480091,1,0.00907518395480091,0.0231239356546631
"18",38,"lash",7,0.00907518395480091,1,0.00907518395480091,0.0231239356546631
"19",42,"lung",7,0.00907518395480091,1,0.00907518395480091,0.0231239356546631
"20",49,"palm",7,0.00907518395480091,1,0.00907518395480091,0.0231239356546631
"21",52,"shin",7,0.00907518395480091,1,0.00907518395480091,0.0231239356546631
"22",55,"skin",7,0.00907518395480091,1,0.00907518395480091,0.0231239356546631
"23",69,"vein",7,0.00907518395480091,1,0.00907518395480091,0.0231239356546631
"24",5,"arms",100,0.000635262876836064,1,0.000635262876836064,0.00161867549582642
"25",19,"ears",100,0.000635262876836064,1,0.000635262876836064,0.00161867549582642
"26",23,"eyes",100,0.000635262876836064,1,0.000635262876836064,0.00161867549582642
"27",25,"feet",100,0.000635262876836064,1,0.000635262876836064,0.00161867549582642
"28",40,"legs",100,0.000635262876836064,1,0.000635262876836064,0.00161867549582642
"29",64,"toes",100,0.000635262876836064,1,0.000635262876836064,0.00161867549582642
