"","X","word","score","invscore","prior","likelihood","pword","posterior"
"1",14,"apple",1.18,0.847457627118644,0.0275551811802911,1,0.0275551811802911,0.181556235460534
"2",207,"peach",1.86,0.537634408602151,0.0174812439745933,1,0.0174812439745933,0.115180837550231
"3",111,"grape",2.1,0.476190476190476,0.015483387520354,1,0.015483387520354,0.102017313258776
"4",150,"lemon",2.58,0.387596899224806,0.0126027572840091,1,0.0126027572840091,0.0830373480013295
"5",178,"melon",2.8,0.357142857142857,0.0116125406402655,1,0.0116125406402655,0.076512984944082
"6",27,"berry",2.96,0.337837837837838,0.0109848357407917,1,0.0109848357407917,0.0723771479200777
"7",172,"mango",3.74,0.267379679144385,0.00869388069324691,1,0.00869388069324691,0.0572824486212379
"8",231,"prune",4.28,0.233644859813084,0.00759698920391202,1,0.00759698920391202,0.0500552237951939
"9",7,"ackee",7,0.142857142857143,0.00464501625610621,1,0.00464501625610621,0.0306051939776329
"10",10,"akebi",7,0.142857142857143,0.00464501625610621,1,0.00464501625610621,0.0306051939776329
"11",18,"araza",7,0.142857142857143,0.00464501625610621,1,0.00464501625610621,0.0306051939776329
"12",116,"guava",7,0.142857142857143,0.00464501625610621,1,0.00464501625610621,0.0306051939776329
"13",192,"nance",7,0.142857142857143,0.00464501625610621,1,0.00464501625610621,0.0306051939776329
"14",196,"olive",7,0.142857142857143,0.00464501625610621,1,0.00464501625610621,0.0306051939776329
"15",249,"salak",7,0.142857142857143,0.00464501625610621,1,0.00464501625610621,0.0306051939776329
"16",264,"sloey",7,0.142857142857143,0.00464501625610621,1,0.00464501625610621,0.0306051939776329
"17",2,"abius",100,0.01,0.000325151137927435,1,0.000325151137927435,0.0021423635784343
"18",4,"acais",100,0.01,0.000325151137927435,1,0.000325151137927435,0.0021423635784343
"19",87,"dates",100,0.01,0.000325151137927435,1,0.000325151137927435,0.0021423635784343
"20",153,"limes",100,0.01,0.000325151137927435,1,0.000325151137927435,0.0021423635784343
"21",161,"lulos",100,0.01,0.000325151137927435,1,0.000325151137927435,0.0021423635784343
"22",211,"pears",100,0.01,0.000325151137927435,1,0.000325151137927435,0.0021423635784343
"23",226,"plums",100,0.01,0.000325151137927435,1,0.000325151137927435,0.0021423635784343
"24",300,"yuzus",100,0.01,0.000325151137927435,1,0.000325151137927435,0.0021423635784343
