"","X","word","prior","likelihood","pword","posterior"
"1",22,"twenty one",0.00943396226415094,1,0.00943396226415094,0.0833333333333333
"2",23,"twenty two",0.00943396226415094,1,0.00943396226415094,0.0833333333333333
"3",27,"twenty six",0.00943396226415094,1,0.00943396226415094,0.0833333333333333
"4",32,"thirty one",0.00943396226415094,1,0.00943396226415094,0.0833333333333333
"5",33,"thirty two",0.00943396226415094,1,0.00943396226415094,0.0833333333333333
"6",37,"thirty six",0.00943396226415094,1,0.00943396226415094,0.0833333333333333
"7",82,"eighty one",0.00943396226415094,1,0.00943396226415094,0.0833333333333333
"8",83,"eighty two",0.00943396226415094,1,0.00943396226415094,0.0833333333333333
"9",87,"eighty six",0.00943396226415094,1,0.00943396226415094,0.0833333333333333
"10",92,"ninety one",0.00943396226415094,1,0.00943396226415094,0.0833333333333333
"11",93,"ninety two",0.00943396226415094,1,0.00943396226415094,0.0833333333333333
"12",97,"ninety six",0.00943396226415094,1,0.00943396226415094,0.0833333333333333
