"","word","score","invscore","prior"
"1","alabama",3.78,0.264550264550265,0.02
"2","alaska",3.34,0.29940119760479,0.02
"3","arizona",7,0.142857142857143,0.02
"4","arkansas",7,0.142857142857143,0.02
"5","california",1.34,0.746268656716418,0.02
"6","colorado",2.64,0.378787878787879,0.02
"7","connecticut",7,0.142857142857143,0.02
"8","delaware",4.28,0.233644859813084,0.02
"9","florida",2.38,0.420168067226891,0.02
"10","georgia",3.7,0.27027027027027,0.02
"11","hawaii",2.9,0.344827586206897,0.02
"12","idaho",7,0.142857142857143,0.02
"13","illinois",3.54,0.282485875706215,0.02
"14","indiana",3.62,0.276243093922652,0.02
"15","iowa",3.94,0.253807106598985,0.02
"16","kansas",7,0.142857142857143,0.02
"17","kentucky",7,0.142857142857143,0.02
"18","louisiana",7,0.142857142857143,0.02
"19","maine",3.62,0.276243093922652,0.02
"20","maryland",3.3,0.303030303030303,0.02
"21","massachusetts",3.18,0.314465408805031,0.02
"22","michigan",3.22,0.31055900621118,0.02
"23","minnesota",7,0.142857142857143,0.02
"24","mississippi",3.68,0.271739130434783,0.02
"25","missouri",7,0.142857142857143,0.02
"26","montana",7,0.142857142857143,0.02
"27","nebraska",7,0.142857142857143,0.02
"28","nevada",7,0.142857142857143,0.02
"29","new hampshire",3.52,0.284090909090909,0.02
"30","new jersey",3.52,0.284090909090909,0.02
"31","new mexico",4.14,0.241545893719807,0.02
"32","new york",2.36,0.423728813559322,0.02
"33","north carolina",3.68,0.271739130434783,0.02
"34","north dakota",7,0.142857142857143,0.02
"35","ohio",3.12,0.32051282051282,0.02
"36","oklahoma",7,0.142857142857143,0.02
"37","oregon",2.72,0.367647058823529,0.02
"38","pennsylvania",2.82,0.354609929078014,0.02
"39","rhode island",7,0.142857142857143,0.02
"40","south carolina",3.6,0.277777777777778,0.02
"41","south dakota",7,0.142857142857143,0.02
"42","tennessee",7,0.142857142857143,0.02
"43","texas",2.3,0.434782608695652,0.02
"44","utah",7,0.142857142857143,0.02
"45","vermont",3.5,0.285714285714286,0.02
"46","virginia",2.94,0.340136054421769,0.02
"47","washington",2.86,0.34965034965035,0.02
"48","west virginia",7,0.142857142857143,0.02
"49","wisconsin",4.06,0.246305418719212,0.02
"50","wyoming",7,0.142857142857143,0.02
