"","word","score","prior"
"1","ankle",3.16,0.020103255596078
"2","ankles",100,0.000635262876836064
"3","anus",7,0.00907518395480091
"4","arm",1.76,0.0360944816384127
"5","arms",100,0.000635262876836064
"6","back",2.76,0.0230167708998574
"7","belly",7,0.00907518395480091
"8","blood",7,0.00907518395480091
"9","bone",7,0.00907518395480091
"10","bones",7,0.00907518395480091
"11","brain",2.9,0.0219056164426229
"12","brow",7,0.00907518395480091
"13","butt",7,0.00907518395480091
"14","calf",7,0.00907518395480091
"15","cheek",7,0.00907518395480091
"16","chest",2.92,0.0217555779738378
"17","chin",7,0.00907518395480091
"18","ear",2.1,0.0302506131826697
"19","ears",100,0.000635262876836064
"20","elbow",2.96,0.021461583676894
"21","elbows",100,0.000635262876836064
"22","eye",1.88,0.0337905785551098
"23","eyes",100,0.000635262876836064
"24","face",2.54,0.0250103494817348
"25","feet",100,0.000635262876836064
"26","finger",2.34,0.0271479861895754
"27","fingers",100,0.000635262876836064
"28","foot",1.76,0.0360944816384127
"29","hair",3.66,0.0173569092031711
"30","hand",1.66,0.0382688480021725
"31","hands",100,0.000635262876836064
"32","head",1.64,0.0387355412704917
"33","heads",100,0.000635262876836064
"34","heart",2.36,0.0269179185100027
"35","iris",7,0.00907518395480091
"36","knee",2.54,0.0250103494817348
"37","knees",100,0.000635262876836064
"38","lash",7,0.00907518395480091
"39","leg",1.66,0.0382688480021725
"40","legs",100,0.000635262876836064
"41","liver",3.88,0.0163727545576305
"42","lung",7,0.00907518395480091
"43","lungs",3.46,0.0183601987524874
"44","mouth",2.34,0.0271479861895754
"45","nail",4.28,0.0148425905802819
"46","nails",100,0.000635262876836064
"47","neck",2.84,0.0223684111561994
"48","nose",2.12,0.029965230039437
"49","palm",7,0.00907518395480091
"50","penis",7,0.00907518395480091
"51","scalp",7,0.00907518395480091
"52","shin",7,0.00907518395480091
"53","shoulder",2.94,0.0216075808447641
"54","shoulders",100,0.000635262876836064
"55","skin",7,0.00907518395480091
"56","skull",7,0.00907518395480091
"57","spine",7,0.00907518395480091
"58","stomach",2.58,0.0246225921254288
"59","teeth",100,0.000635262876836064
"60","thigh",7,0.00907518395480091
"61","throat",3.6,0.017646191023224
"62","thumb",7,0.00907518395480091
"63","toe",2.56,0.0248149561264087
"64","toes",100,0.000635262876836064
"65","tongue",2.9,0.0219056164426229
"66","tooth",3.44,0.0184669440940716
"67","torso",7,0.00907518395480091
"68","trunk",4.36,0.0145702494687171
"69","vein",7,0.00907518395480091
"70","veins",100,0.000635262876836064
"71","waist",7,0.00907518395480091
"72","wrist",7,0.00907518395480091
